feature,importance_mean,importance_std
selling_price,0.11642391918209585,0.0024454307979533993
original_price,0.1054394411673188,0.002309829702231382
cumulative_units_sold,0.02319462475853925,0.0008124256563806813
review_count,0.0069751718858041545,0.00035664934880780415
category,0.003380346011803287,0.001637375469711096
day_of_week,4.567558315637932e-05,4.277341039402269e-06
stock_status,2.09406357339903e-06,6.304940599535579e-06
is_in_stock,9.896526585173593e-07,3.1644892052878003e-06
warehouse_location,-9.383641780258411e-06,0.00018636235754894038
discount_rate,-0.00010976782485005998,4.37921766180482e-05
rating_score,-0.0002985302835995962,0.00013873826205504386
is_weekend,-0.0029420091295702332,0.00021784193328382257
