category_id,category_name
CAT_001,Dép xỏ ngón
CAT_002,Giày chạy bộ bé trai
CAT_003,Giày chạy bộ nam
CAT_004,Giày chạy bộ nữ
CAT_005,Giày sneaker nam
CAT_006,Giày sneaker nữ
CAT_007,Giày thể thao
CAT_008,Giày thể thao bé trai
CAT_009,Giày tập huấn luyện nam
CAT_010,Giày tập huấn luyện nữ
CAT_011,Quần Short thể thao nam
CAT_012,Quần Short thể thao nữ
CAT_013,Quần dài thể thao nam
CAT_014,Quần dài thể thao nữ
CAT_015,Túi thể thao
CAT_016,"Tất, Găng tay thể thao và đồ bảo hộ"
CAT_017,Áo lót thể thao nữ
CAT_018,Áo phông & Áo ba lỗ
CAT_019,Áo thun thể thao bé gái
CAT_020,Áo thun thể thao nam
CAT_021,Áo thun thể thao nữ
