feature,importance
num__day_of_week,0.32263184686260465
cat__category_Quần Short thể thao nữ,0.29328761430764805
num__cumulative_units_sold,0.12991140188850095
num__rating_score,0.1190385052580093
num__review_count,0.11233687079156501
cat__category_Quần dài thể thao nữ,0.01875271751134394
num__selling_price,0.0011977978666849831
num__original_price,0.000658803751990128
num__discount_rate,0.0004939253895923499
cat__warehouse_location_Tây Ninh,0.0004732313954190933
cat__warehouse_location_Thành phố Hồ Chí Minh,0.0003234310889313434
cat__category_Giày thể thao bé trai,0.00028037883261025154
cat__category_Giày chạy bộ nam,0.00027682134781173185
cat__category_Áo thun thể thao nam,0.0001569850799113518
cat__category_Quần Short thể thao nam,7.793144297136385e-05
cat__category_Áo thun thể thao bé gái,7.738297984617043e-05
num__is_weekend,1.1237977037213414e-05
cat__category_Áo lót thể thao nữ,7.204846467469043e-06
cat__category_Giày chạy bộ bé trai,5.911381054470564e-06
cat__category_Giày tập huấn luyện nữ,0.0
cat__category_Giày sneaker nữ,0.0
cat__category_Giày thể thao,0.0
cat__category_Giày chạy bộ nữ,0.0
cat__category_Dép xỏ ngón,0.0
num__is_in_stock,0.0
cat__category_Giày sneaker nam,0.0
cat__category_Áo phông & Áo ba lỗ,0.0
"cat__category_Tất, Găng tay thể thao và đồ bảo hộ",0.0
cat__category_Túi thể thao,0.0
cat__category_Quần dài thể thao nam,0.0
cat__warehouse_location_Hà Nội,0.0
cat__category_Áo thun thể thao nữ,0.0
cat__stock_status_Còn hàng,0.0
cat__stock_status_Hết hàng,0.0
