team_key,team_row_id,team_fifa_id,team_long_name,team_short_name
10260,3457,11.0,Manchester United,MUN
10261,3458,13.0,Newcastle United,NEW
9825,3459,1.0,Arsenal,ARS
8659,3460,109.0,West Bromwich Albion,WBA
8472,3461,106.0,Sunderland,SUN
8650,3462,9.0,Liverpool,LIV
8654,3463,19.0,West Ham United,WHU
10252,3465,2.0,Aston Villa,AVL
8456,3466,10.0,Manchester City,MCI
8668,3467,7.0,Everton,EVE
8586,3470,18.0,Tottenham Hotspur,TOT
10194,3472,1806.0,Stoke City,STK
8667,3473,1952.0,Hull City,HUL
8455,3475,5.0,Chelsea,CHE
8191,4234,1796.0,Burnley,BUR
10003,5744,1960.0,Swansea City,SWA
10172,5747,15.0,Queens Park Rangers,QPR
9850,5756,1792.0,Norwich City,NOR
8466,6504,17.0,Southampton,SOU
9826,7261,1799.0,Crystal Palace,CRY
8197,8021,95.0,Leicester City,LEI
8678,8779,1943.0,Bournemouth,BOU
9817,8784,1795.0,Watford,WAT
10267,43035,461.0,Valencia CF,VAL
10205,43038,483.0,Villarreal CF,VIL
9783,43039,242.0,RC Deportivo de La Coruña,COR
8633,43040,243.0,Real Madrid CF,REA
8634,43042,241.0,FC Barcelona,BAR
8302,43044,481.0,Sevilla FC,SEV
9869,43045,459.0,Real Sporting de Gijón,SPG
8305,43046,1860.0,Getafe CF,GET
8603,43047,449.0,Real Betis Balompié,BET
8558,43049,452.0,RCD Espanyol,ESP
8315,43051,448.0,Athletic Club de Bilbao,BIL
9865,43052,1861.0,UD Almería,ALM
9906,43053,240.0,Atlético Madrid,AMA
9864,43054,573.0,Málaga CF,MAL
8581,44565,1853.0,Levante UD,LEV
8560,44569,457.0,Real Sociedad,SOC
7878,45330,110832.0,Granada CF,GRA
8370,45333,480.0,Rayo Vallecano,RAY
9910,46087,450.0,RC Celta de Vigo,CEL
10268,46848,468.0,Elche CF,ELC
8372,47605,467.0,SD Eibar,EIB
7869,47612,1867.0,Córdoba CF,COR
8306,48358,472.0,UD Las Palmas,LAS
